text,lablel
ആദിയിൽ [MASK] ആകാശവും ഭൂമിയും സൃഷ്ടിച്ചു.,ദൈവം
ഭൂമി പാഴായും ശൂന്യമായും ഇരുന്നു; ആഴത്തിന്മീതെ ഇരുൾ ഉണ്ടായിരുന്നു. ദൈവത്തിന്റെ [MASK]  വെള്ളത്തിൻ മീതെ പരിവർത്തിച്ചുകൊണ്ടിരുന്നു.,ആത്മാവു
വെളിച്ചം [MASK]  എന്നു ദൈവം കല്പിച്ചു; വെളിച്ചം ഉണ്ടായി.,ഉണ്ടാകട്ടെ
വെളിച്ചം നല്ലതു എന്നു ദൈവം കണ്ടു ദൈവം വെളിച്ചവും [MASK] തമ്മിൽ വേർപിരിച്ചു.,ഇരുളും
"ദൈവം വെളിച്ചത്തിന്നു [MASK]  എന്നും ഇരുളിന്നു രാത്രി എന്നും പേരിട്ടു. സന്ധ്യയായി ഉഷസ്സുമായി, ഒന്നാം ദിവസം.",പകൽ
ദൈവം വെള്ളങ്ങളുടെ[MASK]  ഒരു വിതാനം ഉണ്ടാകട്ടെ; അതു വെള്ളത്തിന്നും വെള്ളത്തിന്നും തമ്മിൽ വേർപിരിവായിരിക്കട്ടെ എന്നു കല്പിച്ചു.,മദ്ധ്യേ
വിതാനം ഉണ്ടാക്കീട്ടു ദൈവം വിതാനത്തിൻ [MASK]  വെള്ളവും വിതാനത്തിൻ മീതെയുള്ള വെള്ളവും തമ്മിൽ വേർപിരിച്ചു; അങ്ങനെ സംഭവിച്ചു.,കീഴുള്ള
"ദൈവം വിതാനത്തിന്നു [MASK]  എന്നു പേരിട്ടു. സന്ധ്യയായി ഉഷസ്സുമായി, രണ്ടാം ദിവസം.",ആകാശം
ദൈവം: ആകാശത്തിൻ കീഴുള്ള വെള്ളം ഒരു സ്ഥലത്തു കൂടട്ടെ; ഉണങ്ങിയ [MASK]  കാണട്ടെ എന്നു കല്പിച്ചു; അങ്ങനെ സംഭവിച്ചു.,നിലം
ഉണങ്ങിയ നിലത്തിന്നു ദൈവം [MASK]  എന്നും വെള്ളത്തിന്റെ കൂട്ടത്തിന്നു സമുദ്രം എന്നും പേരിട്ടു; നല്ലതു എന്നു ദൈവം കണ്ടു.,ഭൂമി
ഭൂമിയിൽനിന്നു [MASK] വിത്തുള്ള സസ്യങ്ങളും ഭൂമിയിൽ അതതു തരം വിത്തുള്ള ഫലം കായിക്കുന്ന വൃക്ഷങ്ങളും മുളെച്ചുവരട്ടെ എന്നു ദൈവം കല്പിച്ചു; അങ്ങനെ സംഭവിച്ചു.,പുല്ലും
ഭൂമിയിൽ നിന്നു പുല്ലും അതതു തരം വിത്തുള്ള [MASK]  കായിക്കുന്ന വൃക്ഷങ്ങളും മുളെച്ചുവന്നു; നല്ലതു എന്നു ദൈവം കണ്ടു.,ഫലം
"സന്ധ്യയായി ഉഷസ്സുമായി, മൂന്നാം [MASK].",ദിവസം
